,variantid,gene_symbol,variant_dsi,variant_dpi,variant_consequence_type,diseaseid,disease_name,disease_class,disease_class_name,disease_type,disease_semantic_type,score,ei,year_initial,year_final,source,disease_id
139,rs10149470,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
140,rs1014969,None,1.0,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
141,rs10156548,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
142,rs10175979,LOC105377632,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
143,rs10198241,None,0.925,0.08,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
144,rs1021363,SORCS3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
145,rs10233018,None,0.925,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
146,rs10243383,RAPGEF5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
147,rs10274968,VPS41,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
148,rs1039197,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
149,rs10405382,DPY19L3;LOC400684,1.0,0.04,5 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
150,rs10405744,ZNF93,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
151,rs1042779,ITIH1,0.882,0.04,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
152,rs10429537,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
153,rs10447426,DDO,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
154,rs1045430,AREL1,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
155,rs10458787,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
156,rs10485715,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
157,rs10501696,GRM5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
158,rs10503253,CSMD1,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
159,rs10508287,LINC00705;MANCR,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
160,rs10508288,LOC105376375,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
161,rs10508290,LOC105376374;LOC105376375,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
162,rs10521261,CASC22;LOC105371261,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
163,rs1053544,REV1,1.0,0.04,non coding transcript exon variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
164,rs1055447,C11orf49;ARFGAP2,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
165,rs1058172,CYP2D6;NDUFA6-DT,0.882,0.08,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
166,rs1064346,OSTM1,1.0,0.04,3 prime UTR variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
167,rs1065852,CYP2D6;NDUFA6-DT;LOC112268294,0.695,0.36,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
168,rs1074145,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
169,rs10744560,CACNA1C;CACNA1C-IT3,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
170,rs10748045,GRIP1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2014,2014,ALL,EFO_0003761
171,rs10757278,CDKN2B-AS1,0.62,0.52,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
172,rs10762080,CTNNA3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
173,rs10767735,LINC02758,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
174,rs10769025,ALX4,0.882,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
175,rs10774035,CACNA1C,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
176,rs10774036,CACNA1C;CACNA1C-IT3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
177,rs10780035,NEK4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
178,rs10786831,SORCS3,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
179,rs10789214,SGIP1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
180,rs10789340,LOC105378797,0.925,0.12,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
181,rs10795187,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
182,rs10809385,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
183,rs10809520,None,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
184,rs10811965,ELAVL2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
185,rs10817969,ASTN2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
186,rs10830220,LOC107984363,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
187,rs10865974,GNL3;PBRM1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
188,rs10884216,LINC02627,0.925,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
189,rs10890020,LOC105378800,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
190,rs10890045,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
191,rs10891564,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
192,rs10896636,ZDHHC5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
193,rs10904290,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
194,rs10904299,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
195,rs10904300,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
196,rs10904319,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
197,rs10904321,LOC107984197,1.0,0.04,TF binding site variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
198,rs10904323,LOC105376375;LOC107984197,1.0,0.04,regulatory region variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
199,rs10904328,LOC105376375,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
200,rs10904332,LOC105376375,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
201,rs10904333,LOC105376375,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2017,2017,ALL,EFO_0003761
202,rs10913112,COP1,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
203,rs10929355,NBAS,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
204,rs10950393,TMEM106B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
205,rs10950398,TMEM106B,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
206,rs10954808,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
207,rs1095626,RSRC1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
208,rs10959631,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
209,rs10959913,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
210,rs10959926,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
211,rs10960103,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
212,rs10965780,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
213,rs10968749,LINGO2,0.851,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2015,2015,ALL,EFO_0003761
214,rs10994359,ANK3,0.827,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
215,rs10994397,ANK3,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
216,rs11004733,PCDH15,0.882,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
217,rs11033303,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
218,rs11039149,NR1H3,0.827,0.28,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
219,rs11039409,NUP160,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
220,rs11062170,CACNA1C,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
221,rs11066280,HECTD4,0.742,0.28,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
222,rs1106634,ATP6V1B2,0.851,0.08,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2011,2011,ALL,EFO_0003761
223,rs11082011,CELF4,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
224,rs11123030,CNTNAP5,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
225,rs11124319,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
226,rs11130310,PBRM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
227,rs11130315,PBRM1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
228,rs11130317,GLT8D1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
229,rs111326206,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
230,rs11135349,None,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2019,ALL,EFO_0003761
231,rs111365677,None,0.925,0.04,upstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
232,rs111367251,None,1.0,0.04,downstream gene variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
233,rs11152363,TCF4,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
234,rs11152369,TCF4,0.851,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
235,rs11155372,UTRN,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
236,rs111625585,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2019,2019,ALL,EFO_0003761
237,rs11177,GNL3;PBRM1;SNORD19;SNORD136,0.851,0.08,missense variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
238,rs11191454,AS3MT;BORCS7-ASMT;LOC107984265,0.776,0.16,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
239,rs11191580,NT5C2,0.827,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2013,2013,ALL,EFO_0003761
240,rs111945524,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
241,rs11209175,GNG12-AS1,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
242,rs11209948,LOC105378797,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
243,rs11210111,None,1.0,0.04,intergenic variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
244,rs112106319,TNC;DELEC1,0.925,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2016,2016,ALL,EFO_0003761
245,rs11214589,TTC12,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
246,rs11214607,DRD2,1.0,0.04,intron variant,C1269683,Major Depressive Disorder,F03,   Mental Disorders,disease,Mental or Behavioral Dysfunction,0.7,1.0,2018,2018,ALL,EFO_0003761
